,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,PK,PKatt,Team
1,2022-06-06,20:45,UEFA Nations League,League A,Mon,Home,L,1,2,dk Denmark,,,55.0,18700.0,David Alaba,4-1-4-1,William Collum,Match Report,,17.0,1.0,,0,0,Austria
2,2022-06-10,20:45,UEFA Nations League,League A,Fri,Home,D,1,1,fr France,,,33.0,44800.0,David Alaba,4-4-2,Anastasios Sidiropoulos,Match Report,,5.0,4.0,,0,0,Austria
3,2022-06-13,20:45,UEFA Nations League,League A,Mon,Away,L,0,2,dk Denmark,,,47.0,35230.0,Marcel Sabitzer,4-4-2,Alejandro Hernández,Match Report,,9.0,2.0,,0,0,Austria
4,2022-09-22,20:45,UEFA Nations League,League A,Thu,Away,L,0,2,fr France,,,40.0,70188.0,David Alaba,4-4-2,Andreas Ekberg,Match Report,,4.0,0.0,,0,0,Austria
5,2022-09-25,20:45,UEFA Nations League,League A,Sun,Home,L,1,3,hr Croatia,,,47.0,45700.0,David Alaba,4-4-2,Artur Dias,Match Report,,18.0,6.0,,0,0,Austria
0,2021-03-25,19:45,WCQ,First round,Thu,Away,D,2,2,sct Scotland,,,60.0,,David Alaba,4-4-2,Carlos del Cerro,Match Report,,10.0,5.0,,0,0,Austria
1,2021-03-28,20:45,WCQ,First round,Sun,Home,W,3,1,fo Faroe Islands,,,71.0,,David Alaba,4-4-2,Kateryna Monzul,Match Report,,27.0,8.0,,0,0,Austria
2,2021-03-31,20:45,WCQ,First round,Wed,Home,L,0,4,dk Denmark,,,52.0,,David Alaba,3-4-3,Artur Dias,Match Report,,5.0,0.0,,0,0,Austria
3,2021-09-01,21:45,WCQ,First round,Wed,Away,W,2,0,md Moldova,,,70.0,3945.0,Marko Arnautović,3-4-3,Paul Tierney,Match Report,,13.0,4.0,,0,0,Austria
4,2021-09-04,21:45,WCQ,First round,Sat,Away,L,2,5,il Israel,,,59.0,13550.0,David Alaba,5-3-2,Felix Zwayer,Match Report,,19.0,7.0,,0,0,Austria
5,2021-09-07,20:45,WCQ,First round,Tue,Home,L,0,1,sct Scotland,,,65.0,18800.0,David Alaba,4-3-2-1,Georgi Kabakov,Match Report,,17.0,3.0,,0,0,Austria
6,2021-10-09,19:45,WCQ,First round,Sat,Away,W,2,0,fo Faroe Islands,,,67.0,3021.0,David Alaba,4-4-2,Irfan Peljto,Match Report,,23.0,8.0,,0,0,Austria
7,2021-10-12,20:45,WCQ,First round,Tue,Away,L,0,1,dk Denmark,,,51.0,35843.0,David Alaba,5-4-1,Ivan Kružliak,Match Report,,7.0,0.0,,0,0,Austria
8,2021-11-12,20:45,WCQ,First round,Fri,Home,W,4,2,il Israel,,,63.0,4300.0,David Alaba,4-4-1-1,Ovidiu Hațegan,Match Report,,25.0,13.0,,1,1,Austria
9,2021-11-15,20:45,WCQ,First round,Mon,Home,W,4,1,md Moldova,,,64.0,,Marko Arnautović,4-4-1-1,Aleksandar Stavrev,Match Report,,17.0,7.0,,1,1,Austria
10,2022-03-24,19:45,WCQ,Semi-finals,Thu,Away,L,1,2,wls Wales,,,66.0,32053.0,David Alaba,4-4-1-1,Szymon Marciniak,Match Report,,16.0,4.0,,0,0,Austria
0,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,0,1,pl Poland,,,58.0,40400.0,Julian Baumgartlinger,4-2-3-1,Anastasios Sidiropoulos,Match Report,,16.0,2.0,,0,0,Austria
1,2019-03-24,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,2,4,il Israel,,,57.0,16180.0,Julian Baumgartlinger,4-4-1-1,Yevhen Aranovskyi,Match Report,,20.0,8.0,,0,0,Austria
2,2019-06-07,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1,0,si Slovenia,,,55.0,19200.0,David Alaba,4-1-4-1,Aliaksei Kulbakou,Match Report,,18.0,8.0,,0,0,Austria
3,2019-06-10,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,4,1,mk N. Macedonia,,,61.0,10501.0,Marko Arnautović,4-5-1,Aleksey Eskov,Match Report,,20.0,8.0,,1,1,Austria
4,2019-09-06,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,6,0,lv Latvia,,,77.0,16300.0,Julian Baumgartlinger,4-2-3-1,Robert Hennessy,Match Report,,31.0,11.0,,1,1,Austria
5,2019-09-09,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0,0,pl Poland,,,65.0,56788.0,Julian Baumgartlinger,4-2-3-1,Viktor Kassai,Match Report,,22.0,6.0,,0,0,Austria
6,2019-10-10,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,1,il Israel,,,54.0,26200.0,Julian Baumgartlinger,4-2-3-1,William Collum,Match Report,,16.0,7.0,,0,0,Austria
7,2019-10-13,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,1,0,si Slovenia,,,55.0,15108.0,Julian Baumgartlinger,4-2-3-1,Cüneyt Çakιr,Match Report,,12.0,4.0,,0,0,Austria
8,2019-11-16,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,1,mk N. Macedonia,,,53.0,41100.0,Julian Baumgartlinger,4-2-3-1,Michael Oliver,Match Report,,17.0,8.0,,0,0,Austria
9,2019-11-19,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,1,lv Latvia,,,75.0,2781.0,Julian Baumgartlinger,4-2-3-1,Alejandro Hernández,Match Report,,21.0,3.0,,0,0,Austria
12,2021-06-13,19:00,UEFA Euro,Group stage,Sun,Neutral,W,3,1,mk N. Macedonia,2.0,0.6,62.0,9082.0,David Alaba,3-1-4-2,Andreas Ekberg,Match Report,,10.0,6.0,14.8,0,0,Austria
13,2021-06-17,21:00,UEFA Euro,Group stage,Thu,Neutral,L,0,2,nl Netherlands,0.7,3.1,53.0,15243.0,David Alaba,3-1-4-2,Orel Grinfeeld,Match Report,,9.0,1.0,17.5,0,0,Austria
14,2021-06-21,19:00,UEFA Euro,Group stage,Mon,Neutral,W,1,0,ua Ukraine,1.6,0.3,50.0,10472.0,David Alaba,4-2-3-1,Cüneyt Çakιr,Match Report,,18.0,4.0,19.1,0,0,Austria
15,2021-06-26,20:00,UEFA Euro,Round of 16,Sat,Neutral,L,1,2,it Italy,0.8,1.9,49.0,18910.0,David Alaba,4-2-3-1,Anthony Taylor,Match Report,Required Extra Time,16.0,3.0,20.3,0,0,Austria
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4.0,0.0,nl Netherlands,,,41.0,77328.0,Kylian Mbappé,4-2-3-1,Maurizio Mariani,Match Report,,12.0,8.0,,0,0,France
1,2023-03-27,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,ie Rep. of Ireland,,,65.0,50219.0,Kylian Mbappé,4-3-3,Artur Soares Dias,Match Report,,11.0,4.0,,0,0,France
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,gi Gibraltar,,,82.0,4065.0,Kylian Mbappé,4-3-3,Yevhen Aranovskyi,Match Report,,31.0,9.0,,1,1,France
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,gr Greece,,,62.0,76500.0,Kylian Mbappé,4-2-3-1,Antonio Matéu,Match Report,,19.0,5.0,,1,1,France
4,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,ie Rep. of Ireland,,,68.0,43995.0,Kylian Mbappé,4-2-3-1,Urs Schnyder,Match Report,,25.0,5.0,,0,0,France
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2.0,1.0,nl Netherlands,,,55.0,51310.0,Kylian Mbappé,4-3-3,Felix Zwayer,Match Report,,15.0,7.0,,0,0,France
6,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,14.0,0.0,gi Gibraltar,,,73.0,32758.0,Kylian Mbappé,4-2-3-1,John Brooks,Match Report,,39.0,20.0,,1,1,France
7,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,2.0,2.0,gr Greece,,,67.0,24820.0,Antoine Griezmann,4-2-3-1,Daniel Siebert,Match Report,,15.0,7.0,,0,0,France
12,2024-06-17,21:00,UEFA Euro,Group stage,Mon,Away,W,1.0,0.0,at Austria,2.0,0.8,48.0,46425.0,Kylian Mbappé,4-2-3-1,Jesús Gil,Match Report,,14.0,3.0,14.4,0,0,France
13,2024-06-21,21:00,UEFA Euro,Group stage,Fri,Away,D,0.0,0.0,nl Netherlands,1.4,0.5,62.0,38531.0,Antoine Griezmann,4-4-1-1,Anthony Taylor,Match Report,,15.0,3.0,19.1,0,0,France
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Home,D,1.0,1.0,pl Poland,2.3,1.2,58.0,59728.0,Kylian Mbappé,4-3-3,Marco Guida,Match Report,,18.0,7.0,17.4,1,1,France
0,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,1,2,dk Denmark,,,60.0,75833.0,Hugo Lloris,3-5-2,Felix Zwayer,Match Report,,19.0,6.0,,0,0,France
1,2022-06-06,20:45,UEFA Nations League,League A,Mon,Away,D,1,1,hr Croatia,,,51.0,33869.0,Presnel Kimpembe,4-2-3-1,Marco Guida,Match Report,,7.0,5.0,,0,0,France
2,2022-06-10,20:45,UEFA Nations League,League A,Fri,Away,D,1,1,at Austria,,,67.0,44800.0,Hugo Lloris,4-4-2,Anastasios Sidiropoulos,Match Report,,15.0,7.0,,0,0,France
3,2022-06-13,20:45,UEFA Nations League,League A,Mon,Home,L,0,1,hr Croatia,,,54.0,77410.0,Presnel Kimpembe,4-4-2,Orel Grinfeeld,Match Report,,17.0,4.0,,0,0,France
4,2022-09-22,20:45,UEFA Nations League,League A,Thu,Home,W,2,0,at Austria,,,61.0,70188.0,Raphaël Varane,3-4-1-2,Andreas Ekberg,Match Report,,22.0,6.0,,0,0,France
5,2022-09-25,20:45,UEFA Nations League,League A,Sun,Away,L,0,2,dk Denmark,,,53.0,36064.0,Antoine Griezmann,3-4-1-2,István Kovács,Match Report,,17.0,7.0,,0,0,France
0,2021-03-24,20:45,WCQ,First round,Wed,Home,D,1,1,ua Ukraine,,,63.0,,Hugo Lloris,4-2-2-2,Tobias Stieler,Match Report,,18.0,3.0,,0,0,France
1,2021-03-28,19:00,WCQ,First round,Sun,Away,W,2,0,kz Kazakhstan,,,63.0,,Hugo Lloris,4-2-3-1,Aliaksei Kulbakou,Match Report,,15.0,9.0,,0,1,France
2,2021-03-31,20:45,WCQ,First round,Wed,Away,W,1,0,ba Bosnia & Herz'na,,,56.0,,Hugo Lloris,4-4-2,Daniele Orsato,Match Report,,13.0,2.0,,0,0,France
3,2021-09-01,20:45,WCQ,First round,Wed,Home,D,1,1,ba Bosnia & Herz'na,,,54.0,21754.0,Hugo Lloris,4-3-3,Sandro Schärer,Match Report,,9.0,2.0,,0,0,France
4,2021-09-04,21:45,WCQ,First round,Sat,Away,D,1,1,ua Ukraine,,,62.0,48000.0,Hugo Lloris,4-4-2,Slavko Vinčič,Match Report,,16.0,5.0,,0,0,France
5,2021-09-07,20:45,WCQ,First round,Tue,Home,W,2,0,fi Finland,,,64.0,57057.0,Hugo Lloris,5-2-1-2,Deniz Aytekin,Match Report,,20.0,6.0,,0,0,France
6,2021-11-13,20:45,WCQ,First round,Sat,Home,W,8,0,kz Kazakhstan,,,66.0,45551.0,Hugo Lloris,3-4-1-2,Glenn Nyberg,Match Report,,20.0,14.0,,1,1,France
7,2021-11-16,21:45,WCQ,First round,Tue,Away,W,2,0,fi Finland,,,53.0,31890.0,Hugo Lloris,3-4-3,Marco Guida,Match Report,,8.0,5.0,,0,0,France
10,2022-11-22,22:00,World Cup,Group stage,Tue,Neutral,W,4,1,au Australia,4.0,0.5,62.0,40875.0,Hugo Lloris,4-2-3-1,Victor Gomes,Match Report,,23.0,6.0,13.7,0,0,France
11,2022-11-26,19:00,World Cup,Group stage,Sat,Neutral,W,2,1,dk Denmark,2.4,0.6,49.0,42860.0,Hugo Lloris,4-2-3-1,Szymon Marciniak,Match Report,,21.0,6.0,13.8,0,0,France
12,2022-11-30,18:00,World Cup,Group stage,Wed,Neutral,L,0,1,tn Tunisia,0.8,0.5,65.0,43627.0,Raphaël Varane,4-3-3,Matt Conger,Match Report,,10.0,3.0,18.9,0,0,France
13,2022-12-04,18:00,World Cup,Round of 16,Sun,Neutral,W,3,1,pl Poland,1.4,1.7,55.0,40989.0,Hugo Lloris,4-2-3-1,Jesús Valenzuela,Match Report,,16.0,8.0,17.9,0,0,France
14,2022-12-10,22:00,World Cup,Quarter-finals,Sat,Neutral,W,2,1,eng England,0.9,2.4,43.0,68895.0,Hugo Lloris,4-2-3-1,Wilton Sampaio,Match Report,,8.0,5.0,16.4,0,0,France
15,2022-12-14,22:00,World Cup,Semi-finals,Wed,Neutral,W,2,0,ma Morocco,2.0,0.9,39.0,68294.0,Hugo Lloris,4-2-3-1,César Arturo Ramos,Match Report,,14.0,2.0,13.0,0,0,France
16,2022-12-18,18:00,World Cup,Final,Sun,Neutral,D,3 (2),3 (4),ar Argentina,2.2,3.2,46.0,88966.0,Hugo Lloris,4-2-3-1,Szymon Marciniak,Match Report,Argentina won on penalty kicks following extra time,8.0,3.0,22.8,2,2,France
0,2019-03-22,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4,1,md Moldova,,,67.0,10042.0,Hugo Lloris,4-5-1,Aleksandar Stavrev,Match Report,,17.0,10.0,,0,0,France
1,2019-03-25,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,is Iceland,,,75.0,64538.0,Hugo Lloris,4-2-3-1,István Kovács,Match Report,,15.0,5.0,,0,0,France
2,2019-06-08,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,2,tr Türkiye,,,63.0,36783.0,Hugo Lloris,4-3-3,Damir Skomina,Match Report,,4.0,0.0,,0,0,France
3,2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,4,0,ad Andorra,,,86.0,3187.0,Hugo Lloris,4-2-3-1,Fran Jović,Match Report,,21.0,10.0,,0,0,France
4,2019-09-07,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,4,1,al Albania,,,72.0,77655.0,Hugo Lloris,4-2-3-1,Jesús Gil,Match Report,,13.0,5.0,,0,1,France
5,2019-09-10,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3,0,ad Andorra,,,84.0,55383.0,Hugo Lloris,4-2-3-1,Mykola Balakin,Match Report,,31.0,12.0,,0,1,France
6,2019-10-11,18:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,is Iceland,,,71.0,9719.0,Raphaël Varane,4-3-3,Gianluca Rocchi,Match Report,,22.0,6.0,,1,1,France
7,2019-10-14,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,tr Türkiye,,,64.0,72154.0,Raphaël Varane,4-2-3-1,Felix Brych,Match Report,,23.0,9.0,,0,0,France
8,2019-11-14,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2,1,md Moldova,,,77.0,64367.0,Raphaël Varane,4-2-3-1,Gediminas Mažeika,Match Report,,17.0,5.0,,1,1,France
9,2019-11-17,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,0,al Albania,,,57.0,19228.0,Raphaël Varane,3-4-1-2,Slavko Vinčič,Match Report,,9.0,5.0,,0,0,France
12,2021-06-15,21:00,UEFA Euro,Group stage,Tue,Neutral,W,1,0,de Germany,0.3,0.9,39.0,13000.0,Hugo Lloris,4-3-3,Carlos del Cerro,Match Report,,4.0,1.0,13.0,0,0,France
13,2021-06-19,15:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,hu Hungary,2.0,0.4,66.0,55998.0,Hugo Lloris,4-3-3,Michael Oliver,Match Report,,15.0,4.0,17.7,0,0,France
14,2021-06-23,21:00,UEFA Euro,Group stage,Wed,Neutral,D,2,2,pt Portugal,1.9,1.9,52.0,54886.0,Hugo Lloris,4-2-3-1,Antonio Matéu Lahoz,Match Report,,10.0,4.0,20.5,1,1,France
15,2021-06-28,22:00,UEFA Euro,Round of 16,Mon,Neutral,D,3 (4),3 (5),ch Switzerland,3.4,1.9,54.0,22642.0,Hugo Lloris,3-5-2,Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time,26.0,8.0,18.6,0,0,France
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,0.0,4.0,fr France,,,59.0,77328.0,Virgil van Dijk,4-3-3,Maurizio Mariani,Match Report,,11.0,5.0,,0,1,Netherlands
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3.0,0.0,gi Gibraltar,,,87.0,36327.0,Virgil van Dijk,4-3-3,Morten Krogh,Match Report,,51.0,12.0,,0,0,Netherlands
2,2023-09-07,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3.0,0.0,gr Greece,,,53.0,32079.0,Virgil van Dijk,3-4-3,Michael Oliver,Match Report,,14.0,6.0,,0,0,Netherlands
3,2023-09-10,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,1.0,ie Rep. of Ireland,,,48.0,49807.0,Virgil van Dijk,3-4-3,Irfan Peljto,Match Report,,9.0,5.0,,1,1,Netherlands
4,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,1.0,2.0,fr France,,,46.0,51310.0,Virgil van Dijk,4-2-3-1,Felix Zwayer,Match Report,,8.0,4.0,,0,0,Netherlands
5,2023-10-16,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1.0,0.0,gr Greece,,,60.0,24967.0,Virgil van Dijk,4-2-3-1,Alejandro Hernández,Match Report,,11.0,6.0,,1,2,Netherlands
6,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,1.0,0.0,ie Rep. of Ireland,,,55.0,51811.0,Virgil van Dijk,3-4-3,Marco Di Bello,Match Report,,19.0,5.0,,0,0,Netherlands
7,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,6.0,0.0,gi Gibraltar,,,79.0,2280.0,Virgil van Dijk,4-3-3,Arda Kardeşler,Match Report,,23.0,9.0,,0,0,Netherlands
12,2024-06-16,15:00,UEFA Euro,Group stage,Sun,Away,W,2.0,1.0,pl Poland,1.4,1.3,66.0,48117.0,Virgil van Dijk,4-2-3-1,Artur Soares Dias,Match Report,,21.0,4.0,16.9,0,0,Netherlands
13,2024-06-21,21:00,UEFA Euro,Group stage,Fri,Home,D,0.0,0.0,fr France,0.5,1.4,38.0,38531.0,Virgil van Dijk,4-2-3-1,Anthony Taylor,Match Report,,8.0,4.0,20.4,0,0,Netherlands
14,2024-06-25,18:00,UEFA Euro,Group stage,Tue,Home,L,2.0,3.0,at Austria,1.7,0.9,53.0,68363.0,Virgil van Dijk,4-3-3,Ivan Kružliak,Match Report,,11.0,2.0,15.9,0,0,Netherlands
0,2022-06-03,20:45,UEFA Nations League,League A,Fri,Away,W,4,1,be Belgium,,,50.0,38327.0,Virgil van Dijk,3-4-1-2,José Sánchez,Match Report,,15.0,7.0,,0,0,Netherlands
1,2022-06-08,19:45,UEFA Nations League,League A,Wed,Away,W,2,1,wls Wales,,,56.0,23395.0,Stefan de Vrij,3-4-3,Glenn Nyberg,Match Report,,8.0,2.0,,0,0,Netherlands
2,2022-06-11,20:45,UEFA Nations League,League A,Sat,Home,D,2,2,pl Poland,,,68.0,39382.0,Memphis,3-5-2,Halil Umut Meler,Match Report,,17.0,6.0,,0,1,Netherlands
3,2022-06-14,20:45,UEFA Nations League,League A,Tue,Home,W,3,2,wls Wales,,,60.0,32247.0,Matthijs de Ligt,3-4-3,Horațiu Fesnic,Match Report,,22.0,7.0,,0,0,Netherlands
4,2022-09-22,20:45,UEFA Nations League,League A,Thu,Away,W,2,0,pl Poland,,,59.0,56673.0,Virgil van Dijk,3-4-1-2,Alejandro Hernández,Match Report,,10.0,2.0,,0,0,Netherlands
5,2022-09-25,20:45,UEFA Nations League,League A,Sun,Home,W,1,0,be Belgium,,,46.0,52314.0,Virgil van Dijk,3-4-1-2,Anthony Taylor,Match Report,,13.0,5.0,,0,0,Netherlands
6,2023-06-14,20:45,UEFA Nations League,Semi-finals,Wed,Neutral,L,2,4,hr Croatia,,,46.0,39359.0,Virgil van Dijk,4-3-3,István Kovács,Match Report,Required Extra Time,14.0,6.0,,0,0,Netherlands
7,2023-06-18,15:00,UEFA Nations League,Third-place match,Sun,Neutral,L,2,3,it Italy,,,61.0,21292.0,Virgil van Dijk,4-2-3-1,Glenn Nyberg,Match Report,,19.0,6.0,,0,0,Netherlands
0,2021-03-24,20:00,WCQ,First round,Wed,Away,L,2,4,tr Türkiye,,,66.0,,Georginio Wijnaldum,4-3-3,Michael Oliver,Match Report,,20.0,9.0,,0,1,Netherlands
1,2021-03-27,18:00,WCQ,First round,Sat,Home,W,2,0,lv Latvia,,,77.0,5000.0,Georginio Wijnaldum,4-3-3,Stéphanie Frappart,Match Report,,36.0,11.0,,0,0,Netherlands
2,2021-03-30,20:45,WCQ,First round,Tue,Away,W,7,0,gi Gibraltar,,,80.0,335.0,Georginio Wijnaldum,4-3-3,João Pinheiro,Match Report,,35.0,16.0,,0,0,Netherlands
3,2021-09-01,20:45,WCQ,First round,Wed,Away,D,1,1,no Norway,,,65.0,6711.0,Virgil van Dijk,4-3-3,Szymon Marciniak,Match Report,,17.0,6.0,,0,0,Netherlands
4,2021-09-04,20:45,WCQ,First round,Sat,Home,W,4,0,me Montenegro,,,72.0,20458.0,Georginio Wijnaldum,4-3-3,Jesús Gil,Match Report,,28.0,12.0,,1,1,Netherlands
5,2021-09-07,20:45,WCQ,First round,Tue,Home,W,6,1,tr Türkiye,,,67.0,31389.0,Virgil van Dijk,4-3-3,Daniele Orsato,Match Report,,29.0,12.0,,1,1,Netherlands
6,2021-10-08,21:45,WCQ,First round,Fri,Away,W,1,0,lv Latvia,,,78.0,4711.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,19.0,4.0,,0,0,Netherlands
7,2021-10-11,20:45,WCQ,First round,Mon,Home,W,6,0,gi Gibraltar,,,82.0,31583.0,Virgil van Dijk,4-3-3,Vitaly Meshkov,Match Report,,31.0,12.0,,1,2,Netherlands
8,2021-11-13,20:45,WCQ,First round,Sat,Away,D,2,2,me Montenegro,,,74.0,1844.0,Virgil van Dijk,4-3-3,Carlos del Cerro,Match Report,,9.0,3.0,,1,1,Netherlands
9,2021-11-16,20:45,WCQ,First round,Tue,Home,W,2,0,no Norway,,,65.0,,Virgil van Dijk,4-3-3,Clément Turpin,Match Report,,10.0,5.0,,0,0,Netherlands
12,2022-11-21,19:00,World Cup,Group stage,Mon,Neutral,W,2,0,sn Senegal,0.7,0.9,54.0,41721.0,Virgil van Dijk,3-4-1-2,Wilton Sampaio,Match Report,,10.0,3.0,16.4,0,0,Netherlands
13,2022-11-25,19:00,World Cup,Group stage,Fri,Neutral,D,1,1,ec Ecuador,0.1,1.7,54.0,44833.0,Virgil van Dijk,3-4-1-2,Mustapha Ghorbal,Match Report,,2.0,1.0,23.2,0,0,Netherlands
14,2022-11-29,18:00,World Cup,Group stage,Tue,Neutral,W,2,0,qa Qatar,1.6,0.1,63.0,66784.0,Virgil van Dijk,3-4-1-2,Bakary Papa Gassama,Match Report,,13.0,4.0,14.5,0,0,Netherlands
15,2022-12-03,18:00,World Cup,Round of 16,Sat,Neutral,W,3,1,us United States,1.7,1.5,42.0,44846.0,Virgil van Dijk,3-4-1-2,Wilton Sampaio,Match Report,,11.0,6.0,16.4,0,0,Netherlands
16,2022-12-09,22:00,World Cup,Quarter-finals,Fri,Neutral,D,2 (3),2 (4),ar Argentina,0.6,1.9,52.0,88235.0,Virgil van Dijk,3-4-1-2,Antonio Matéu,Match Report,Argentina won on penalty kicks following extra time,6.0,2.0,16.2,0,0,Netherlands
0,2019-03-21,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,0,by Belarus,,,62.0,38604.0,Virgil van Dijk,4-3-3,Davide Massa,Match Report,,10.0,6.0,,1,1,Netherlands
1,2019-03-24,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,2,3,de Germany,,,54.0,51694.0,Virgil van Dijk,4-3-3,Jesús Gil,Match Report,,16.0,6.0,,0,0,Netherlands
2,2019-09-06,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4,2,de Germany,,,51.0,51299.0,Virgil van Dijk,4-3-3,Artur Dias,Match Report,,16.0,9.0,,0,0,Netherlands
3,2019-09-09,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,4,0,ee Estonia,,,72.0,11006.0,Virgil van Dijk,4-3-3,Serhiy Boiko,Match Report,,20.0,10.0,,0,0,Netherlands
4,2019-10-10,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,3,1,nir Northern Ireland,,,77.0,41348.0,Virgil van Dijk,4-3-3,Benoît Bastien,Match Report,,23.0,7.0,,0,0,Netherlands
5,2019-10-13,19:00,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,1,by Belarus,,,76.0,21639.0,Virgil van Dijk,4-3-3,Anastasios Sidiropoulos,Match Report,,21.0,7.0,,0,0,Netherlands
6,2019-11-16,19:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,0,0,nir Northern Ireland,,,69.0,18404.0,Virgil van Dijk,4-2-3-1,Szymon Marciniak,Match Report,,14.0,3.0,,0,0,Netherlands
7,2019-11-19,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5,0,ee Estonia,,,66.0,50386.0,Georginio Wijnaldum,4-2-3-1,Davide Massa,Match Report,,22.0,14.0,,0,0,Netherlands
10,2021-06-13,21:00,UEFA Euro,Group stage,Sun,Neutral,W,3,2,ua Ukraine,1.5,0.5,62.0,15837.0,Georginio Wijnaldum,3-4-1-2,Felix Brych,Match Report,,15.0,7.0,17.5,0,0,Netherlands
11,2021-06-17,21:00,UEFA Euro,Group stage,Thu,Neutral,W,2,0,at Austria,3.1,0.7,47.0,15243.0,Georginio Wijnaldum,3-4-1-2,Orel Grinfeeld,Match Report,,13.0,2.0,16.2,1,1,Netherlands
12,2021-06-21,18:00,UEFA Euro,Group stage,Mon,Neutral,W,3,0,mk N. Macedonia,3.1,1.1,58.0,15227.0,Georginio Wijnaldum,3-4-1-2,István Kovács,Match Report,,17.0,6.0,17.8,0,0,Netherlands
13,2021-06-27,18:00,UEFA Euro,Round of 16,Sun,Neutral,L,0,2,cz Czechia,0.9,1.6,52.0,52834.0,Georginio Wijnaldum,3-4-1-2,Sergey Karasev,Match Report,,6.0,0.0,15.5,0,0,Netherlands
0,2020-09-04,20:45,UEFA Nations League,League A,Fri,Home,W,1,0,pl Poland,,,64.0,,Virgil van Dijk,4-3-3,Georgi Kabakov,Match Report,,14.0,4.0,,0,0,Netherlands
1,2020-09-07,20:45,UEFA Nations League,League A,Mon,Home,L,0,1,it Italy,,,43.0,,Virgil van Dijk,4-3-3,Felix Brych,Match Report,,11.0,3.0,,0,0,Netherlands
2,2020-10-11,18:00,UEFA Nations League,League A,Sun,Away,D,0,0,ba Bosnia & Herz'na,,,69.0,1600.0,Virgil van Dijk,4-3-3,István Kovács,Match Report,,15.0,4.0,,0,0,Netherlands
3,2020-10-14,20:45,UEFA Nations League,League A,Wed,Away,D,1,1,it Italy,,,45.0,623.0,Virgil van Dijk,4-1-4-1,Anthony Taylor,Match Report,,14.0,4.0,,0,0,Netherlands
